,piano,unpitched,organ,string,voice,brass,reed,wind,pitched,guitar,synth,cent,roll,flat,contrast,flux,bw,yin
3,0,0,0,0,0,0,0,0,1,0,0,323.3078311,258.3984375,3.41E-07,12.51762866,0.06843368,460.0497359,222.3131271
4,0,0,0,0,0,0,0,0,1,0,0,334.3137789,258.3984375,3.52E-07,19.15524856,0.010695912,480.193864,221.2462126
5,0,0,0,0,0,0,0,0,1,0,0,315.6756375,247.6318359,3.80E-07,8.5540487,0.478051722,469.6830182,223.0230825
6,0,0,0,0,0,0,0,0,1,0,0,314.3577661,247.6318359,4.56E-07,12.30359722,0.425250888,490.1292416,221.9728719
7,0,0,0,0,0,0,0,0,1,0,0,325.4499177,247.6318359,6.94E-07,18.49421314,0.396233261,535.7216693,222.0326292
8,0,0,0,0,0,0,0,0,1,0,0,337.0557006,247.6318359,1.12E-06,11.76070095,0.255662233,603.9920555,222.9713644
9,0,0,0,0,0,0,0,0,1,0,0,327.8004563,247.6318359,7.29E-07,9.766823992,0.373952389,565.7197368,221.3367463
10,0,0,0,0,0,0,0,0,1,0,0,315.6664926,247.6318359,4.67E-07,10.55198618,0.623422742,495.1977416,222.5293772
11,0,0,0,0,0,0,0,0,1,0,0,315.7790137,247.6318359,4.06E-07,15.84567897,0.317255586,489.3907548,222.3380005
12,0,0,0,0,0,0,0,0,1,0,0,313.2753616,247.6318359,5.02E-07,9.472082216,0.25335598,520.996072,221.3420713
13,0,0,0,0,0,0,0,0,1,0,0,306.5556286,247.6318359,5.70E-07,9.564137791,0.289298564,525.5131293,222.7758909
14,0,0,0,0,0,0,0,0,1,0,0,734.7236942,1195.092773,2.28E-05,11.91299459,0.387338042,835.111489,221.5573792
15,0,0,0,0,0,0,0,0,1,0,0,883.5270611,1281.225586,5.40E-05,19.5943125,0.493604362,821.1807823,224.0219352
16,0,0,0,0,0,0,0,0,1,0,0,804.5602192,1108.959961,1.82E-05,16.63389075,12.18044758,722.9338429,110.1947986
17,0,0,0,0,0,0,0,0,1,0,0,655.700604,1012.060547,3.31E-06,21.21333795,5.891572475,598.7900645,110.0133319
18,0,0,0,0,0,0,0,0,1,0,0,560.2500459,1001.293945,1.82E-06,24.91024934,0.401296198,578.5014485,109.8681896
19,0,0,0,0,0,0,0,0,1,0,0,508.1395485,990.5273438,2.52E-06,30.08867801,0.055694863,597.6791469,110.0799408
20,0,0,0,0,0,0,0,0,1,0,0,460.5749658,990.5273438,2.63E-06,24.23893599,0.120367311,610.0677851,109.799023
21,0,0,0,0,0,0,0,0,1,0,0,415.4579581,979.7607422,2.30E-06,24.80173617,0.351964325,597.8855287,109.7600798
22,0,0,0,0,0,0,0,0,1,0,0,412.1725443,979.7607422,2.83E-06,24.06789849,0.12932542,614.4939706,109.2174259
23,0,0,0,0,0,0,0,0,1,0,0,404.263234,904.3945313,3.52E-06,33.66706529,0.155855149,632.3624824,109.0205083
24,0,0,0,0,0,0,0,0,1,0,0,387.9799919,829.0283203,3.55E-06,28.6963758,0.83722043,642.8181594,108.8837245
25,0,0,0,0,0,0,0,0,1,0,0,376.3711194,699.8291016,2.84E-06,29.05824361,0.911264539,661.2621566,101.3762182
26,0,0,0,0,0,0,0,0,1,0,0,362.7790428,409.1308594,2.65E-06,27.61909284,0.441448122,672.251933,101.9234462
27,0,0,0,0,0,0,0,0,1,0,0,343.667411,409.1308594,1.96E-06,29.38959283,0.262697816,643.2657886,102.2878246
28,0,0,0,0,0,0,0,0,1,0,0,314.8182435,398.3642578,1.72E-06,28.30781625,0.200304568,615.7083258,101.1384494
29,0,0,0,0,0,0,0,0,1,0,0,312.3202651,398.3642578,1.56E-06,25.62625419,0.215474114,615.2246186,101.6046699
30,0,0,0,0,0,0,0,0,1,0,0,320.4478075,398.3642578,1.50E-06,31.35640434,0.311750531,624.039316,100.8317298
31,0,0,0,0,0,0,0,0,1,0,0,316.2125695,398.3642578,1.68E-06,37.17435228,0.333466917,630.491209,100.4826741
32,0,0,0,0,0,0,0,0,1,0,0,314.5828658,398.3642578,2.10E-06,26.99500982,0.342366576,663.2567665,100.5471756
33,0,0,0,0,0,0,0,0,1,0,0,848.7510716,1636.523438,6.02E-05,23.14908362,0.396537036,972.5204537,100.6208331
34,0,0,0,0,0,0,0,0,1,0,0,1203.718089,1959.521484,0.000355031,19.36362854,0.379806936,962.2791368,101.1090702
35,0,0,0,0,0,0,0,0,1,0,0,1140.521798,1701.123047,1.61E-04,18.99588451,12.56681538,915.8233705,743.8279679
36,0,0,0,0,0,0,0,0,1,0,0,897.2451059,1496.557617,1.45E-05,26.92728419,11.67145538,779.100976,148.1557668
37,0,0,0,0,0,0,0,0,1,0,0,695.4289773,1485.791016,3.08E-06,31.51513535,1.123439431,705.4386491,74.23192548
38,0,0,0,0,0,0,0,0,1,0,0,546.0783234,1475.024414,1.27E-06,25.65718027,0.101694115,657.9594532,148.247765
39,0,0,0,0,0,0,0,0,1,0,0,464.2356398,893.6279297,1.02E-06,24.93358916,0.03854448,614.3546675,74.00640863
40,0,0,0,0,0,0,0,0,1,0,0,392.6805667,592.1630859,8.02E-07,31.35645649,0.038030833,566.5985135,73.91399115
41,0,0,0,0,0,0,0,0,1,0,0,366.1305734,592.1630859,7.52E-07,32.33873425,0.159963459,556.2424781,73.76651716
42,0,0,0,0,0,0,0,0,1,0,0,376.7969441,592.1630859,9.87E-07,27.26426788,0.270669341,580.9440814,147.0553132
43,0,0,0,0,0,0,0,0,1,0,0,398.6958342,602.9296875,1.07E-06,27.33861531,0.510939658,604.3454286,74.02104223
44,0,0,0,0,0,0,0,0,1,0,0,423.5536143,624.4628906,1.23E-06,30.49728174,0.955339193,633.3858651,74.23542918
45,0,0,0,0,0,0,0,0,1,0,0,407.6711272,602.9296875,1.24E-06,33.08392465,0.684765697,624.1241108,74.26549933
