,piano,unpitched,organ,string,voice,brass,reed,wind,pitched,guitar,synth,cent,roll,flat,contrast,flux,bw,yin
3,0,0,0,0,0,0,0,0,1,0,0,-1.394354525,-1.436362983,-0.283318832,-1.192923596,-0.791220465,-1.605587569,0.197737013
4,0,0,0,0,0,0,0,0,1,0,0,-1.377097184,-1.436362983,-0.283317795,-0.147401731,-0.831005074,-1.569713332,0.191662774
5,0,0,0,0,0,0,0,0,1,0,0,-1.406321815,-1.44424641,-0.283315155,-1.817245201,-0.508970315,-1.588431867,0.201778985
6,0,0,0,0,0,0,0,0,1,0,0,-1.408388239,-1.44424641,-0.283307991,-1.226636667,-0.545353095,-1.552019636,0.195799846
7,0,0,0,0,0,0,0,0,1,0,0,-1.39099573,-1.44424641,-0.283285554,-0.251524443,-0.565347892,-1.47082508,0.196140061
8,0,0,0,0,0,0,0,0,1,0,0,-1.372797847,-1.44424641,-0.283245394,-1.312150741,-0.662209333,-1.349243844,0.20148454
9,0,0,0,0,0,0,0,0,1,0,0,-1.387310082,-1.44424641,-0.283282255,-1.626215419,-0.580700681,-1.417402178,0.192178207
10,0,0,0,0,0,0,0,0,1,0,0,-1.406336154,-1.44424641,-0.283306954,-1.502540932,-0.408801406,-1.542993255,0.198968185
11,0,0,0,0,0,0,0,0,1,0,0,-1.406159721,-1.44424641,-0.283312704,-0.668707172,-0.619768006,-1.553334791,0.197878624
12,0,0,0,0,0,0,0,0,1,0,0,-1.410085451,-1.44424641,-0.283303654,-1.672641544,-0.663798473,-1.497049573,0.192208524
13,0,0,0,0,0,0,0,0,1,0,0,-1.420622001,-1.44424641,-0.283297244,-1.658141449,-0.639031986,-1.489005245,0.200371655
14,0,0,0,0,0,0,0,0,1,0,0,-0.749253895,-0.750504837,-0.281201586,-1.288162273,-0.571477205,-0.937648307,0.193434331
15,0,0,0,0,0,0,0,0,1,0,0,-0.515930015,-0.687437421,-0.278260313,-0.078242762,-0.49825366,-0.962457197,0.20746573
16,0,0,0,0,0,0,0,0,1,0,0,-0.639750129,-0.813572252,-0.281635236,-0.54455233,7.554646637,-1.13742302,-0.440583632
17,0,0,0,0,0,0,0,0,1,0,0,-0.873162207,-0.884523095,-0.28303894,0.17677734,3.22125367,-1.358507956,-0.441616772
18,0,0,0,0,0,0,0,0,1,0,0,-1.022828812,-0.892406522,-0.283179404,0.75909476,-0.56185924,-1.394639508,-0.442443107
19,0,0,0,0,0,0,0,0,1,0,0,-1.104538142,-0.900289949,-0.283113414,1.574772741,-0.799998235,-1.360486365,-0.441237549
20,0,0,0,0,0,0,0,0,1,0,0,-1.179119472,-0.900289949,-0.283103044,0.653353124,-0.755435237,-1.33842371,-0.442836892
21,0,0,0,0,0,0,0,0,1,0,0,-1.249863001,-0.908173376,-0.283134154,0.742002354,-0.595851709,-1.360118824,-0.443058606
22,0,0,0,0,0,0,0,0,1,0,0,-1.255014534,-0.908173376,-0.28308419,0.626412225,-0.749262589,-1.330541214,-0.446148085
